No,GRUPO_EMPRESARIAL
1,MAERSK
2,PROCTER AND GAMBLE
3,LG
4,ROCHE 
5,CATERPILLAR 
6,AES 
7,ENDRESS + HAUSER INSTRUMENTS 
8,WESTERN UNION 
9,HALLIBURTON 
10,PAN AMERICAN LIFE 
11,CEMEX 
12,MOFFATT AND NICHOL 
13,ABB 
14,J. SAFRA ASSET 
15,KUMHO TIRE 
16,HEINEKEN 
17,PHILIPS 
18,NESTLE 
19,HYOSUNG 
20,MARS 
21,ERICSSON AB 
22,SANOFI AVENTIS 
23,SMARTMATIC 
24,ALFA LAVAL 
25,KUEHNE + NAGEL 
26,PUIG 
27,ZTE 
28,UNILEVER 
29,MERCK SHARP AND DOHME 
30,BAUER 
31,FASTENAL 
32,GRAINGER 
33,WARTSILA 
34,JOHNSON AND JOHNSON 
35,VAN OORD 
36,GCE GROUP 
37,HUAWEI TECHNOLOGIES 
38,DAMCO INTERNACIONAL 
39,GENERAL ELECTRIC COMPANY 
40,L'OREAL  S.A. 
41,DIAGEO PLC 
42,SYNGENTA AG 
43,GRUPO SAMSUNG 
44,TELEFONICA  S.A. 
45,SUNWING GROUP TRAVEL Y TUI TRAVEL 
46,3M 
47,THE BRINK'S COMPANY 
48,UNDER ARMOUR  INC. 
49,GRUPO TETRA PAK 
50,GRUPO EVERGREEN 
51,HANSGROHE SE 
52,CHINA HARBOUR ENGINEERINGCOMPANY LIMITED 
53,HINO GROUP 
54,A.P. MOLLER - MAERSK GROUP 
55,ACE LIMITED 
56,SONY CORPORATION 
57,CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LTD. 
58,GRUPO HOSPITEN 
59,ABUNDANCE GLOBAL CORP. 
60,LATAMEL SLU 
61,GRAND BAY INTERNATIONAL 
62,BACARDI-MARTINI BV (BMBV) 
63,WILSON S.A. 
64,QUALA INC. 
65,DEVANLAY S.A. 
66,HS AD INC. 
67,DELL INC. 
68,COCHLEAR LIMITED GROUP 
69,TRADE ALLIANCE CORP. HOLDING 
70,MONJASA HOLDING A/S 
71,POSCO DAEWOO CORPORATION 
72,INTCOMEX  INC 
73,DESIGN SOURCE INTERNATIONAL S. DE R.L. 
74,SINOHYDRO CORPORATION LIMITED 
75,GRUPO MICHELIN 
76,KONINKLIJKE PHILIPS N.V. 
77,ACINO GROUP 
78,YAMAHA MOTOR CO.  LTD. 
79,GLAXO GROUP LIMITED 
80,URALKALI TRADING (GIBRALTAR) LIMITED 
81,CONSTELLATION OVERSEAS LTD. 
82,SERVIER SAS 
83,ASAHI KASEI CORPORATION 
84,INVERSIONES LOS ARPEOS  S. L. 
85,NOVO NORDISK 
86,PAYLESS INC. 
87,BRS BANQUE  S.A. 
88,BAVARIA N.V. 
89,ECCO 
90,NESTLE  S.A. 
91,DENALI HOLDING  INC. 
92,HAZAMA ANDO CORPORATION 
93,PANDORA A/S 
94,THE ESTEE LAUDER COMPANIES INC. 
95,INTERAMERICANA PARA EL FINANCIA- MIENTO DE INFRAESTRUCTURA  S.A. 
96,ADIDAS GROUP 
97,SONY CORPORATION 
98,CHURCH AND DWIGHT CO.  INC. 
99,CORPORACION COSCO CONTAINERLINES CO.  LTD. 
100,"SHANGHAI GORGEOUS INVESTMENTDEVELOPMENT CO. LTD."
101,YANG MING MARINE TRANSPORT CORP 
102,INTERNATIONAL CONTAINER TERMINAL SERVICES  INC. 
103,THE CENTRAL AMERICA BOTTLINGCORPORATION 
104,SHANGHAI ZHENHUA HEAVY INDUSTRIES CO.  LTD. (ZPMC) 
105,RED BULL GMBH 
106,BEMPAR PARTICIPACOES LTDA. 
107,PANALPINA WORLD TRANSPORT(HOLDING) LTD 
108,VISA INC. 
109,MCKINSEY AND COMPANY  INC. 
110,HANKOOK TIRE CO.  LTD. 
111,CRRC HONGKONG CAPITAL MANAGEMENT CO  LTD. 
112,A.P. MOLLER-MAERSK A/S 
113,GRUPO ELITE FLOWER 
114,INTERNATIONAL SHOPPING CENTERHOLDINGS  INC. 
115,GRUNENTHAL PHARMA GMBH AND CO.KOMMANDITGESELLSCHAFT 
116,ATHENS PVT LIMITED 
117,ERNST AND YOUNG (EY) 
118,THE BOEING COMPANY 
119,ISUZU MOTORS LIMITED 
120,JCB 
121,BAOSHAN IRON AND STEEL CO.  LTD. 
122,GRUPO PUMA ENERGY 
123,UBER INTERNATIONAL B.V. 
124,HILTI 
125,ALLEGION PLC. 
126,STANLEY BLACK AND DECKER 
127,PPG INDUSTRIES  INC. 
128,"V.F. CORPORACION (""VF"")"
129,"V.F. CORPORACION (""VF"")"
130,CHINA STATE CONSTRUCTION ENGINEERING CORPORATION LTD. 
131,IRUM HQ SERVICES 
132,LIBERTY IBEROAMERICA S.L.U. 
133,INTERENERGY GROUP LIMITED 
134,UPFIELD NL HOLDINGS TWO B.V. 
135,MILLICOM INTERNATIONAL CELLULARS.A. 
136,DOKA 
137,JCDECAUX TOP MEDIA 
138,AGGREKO PLC 
139,CCCC DREDGING (GROUP) CO.  LTD 
140,GRUPO ABB 
141,ALORICA  INC 
142,ERNST AND YOUNG (EY) 
143,GRUPO CCN (INVERSIONES CERVECERAS CENTROAMERICANAS  S.A.) 
144,ADAMANTINE 
145,HANGZHU HIKVISION DIGITAL TECHNOLOGY  CO LTD. 
146,SPECTRUM BRANDS 
147,DASHANG GROUP CO.  LTD 
148,BIA FOOD INVESTMENTS  S.A. 
149,THOMAS GREG AND SONS 
150,MULTI-FLOUR INERNATIONAL CORP. 
151,WITTEVEEN+BOS 
152,BAMERIL S.A. 
153,REDWOOD CAPITAL INVESTMENTS LLC 
154,MERCK GROUP 
155,ZHEJIANG DAHUA TECHNOLOGY CO  LTD. 
156,MAREVALLEY CORPORATION 
157,CERVECERIA NACIONAL DOMINICANA 
158,MASTERCARD INTERNATIONAL INCORPORATED 
159,BELCORP 
160,"FEDERATION INTERNATIONAL OF FOOTBALL ASSOCIATION (FIFA) "
161,WILLIS TOWERS WATSON  PLC 
162,JAN DE NUL GROUP 
163,CUNA DEL MAR 
164,NOVARTIS 
165,TESSILE INTERNACIONAL 
166,PETROCHINA INTERNATIONAL (AMERICA)  INC. GROUP 
167,BUPA 
168,GLAXO SMITHKLINE PLC GROUP 
169,GRUPO FINANCIERO GNB 
170,QVANTEL OY 
171,BOSTON CONSULTING GROUP (PANAMA) S. DE R.L. 
172,ZKTECO PANAMA  S.A. 
173,BELIV GLOBAL LLC 
174,LERNEN BIDCO LIMITED 
175,X-PRESS FEEDERS LIMITED 
176,GRUPO DAVID ENTERPRISES 
177,BAC HOLDING INTERNATIONAL CORP. 
178,FARMAVALUE S.A. 
179,FASHION FITNESS GROUP 
180,VERSATILE TECHNOLOGY INC. 
181,THE CENTRAL AMERICA BOTTLING CORPORATION (BVI) 
182,GRUPO PROFARMACO 
183,CHINA MOBILE INTERNATIONAL LIMITED 
184,SLA CORP. 
185,CRCC INTERNATIONAL INVESTMENT CO.  LIMITED 
186,GRUPO MILLICOM 
187,ENERGY TRANSFER LP 
188,CMES TANKER HOLDINGS INC. 
189,MAPFRE S.A. 
